id,name,building,capacity,room_type,facilities
R101,Room 101,Main Building,60,lecture_hall,"projector,whiteboard,ac"
R102,Room 102,Main Building,60,lecture_hall,"projector,whiteboard,ac"
R103,Room 103,Main Building,40,lecture_hall,"projector,whiteboard"
R104,Room 104,Main Building,50,lecture_hall,"projector,whiteboard,ac"
R201,Room 201,Science Block,50,lecture_hall,"projector,whiteboard,ac"
R202,Room 202,Science Block,55,lecture_hall,"projector,whiteboard,ac"
R203,Room 203,Science Block,45,lecture_hall,"projector,whiteboard"
R301,Room 301,Tech Building,80,lecture_hall,"projector,whiteboard,ac,sound_system"
R302,Room 302,Tech Building,70,lecture_hall,"projector,whiteboard,ac"
R303,Room 303,Tech Building,60,lecture_hall,"projector,whiteboard,ac"
LAB1,Computer Lab 1,Tech Building,40,lab,"computers,projector,ac"
LAB2,Computer Lab 2,Tech Building,40,lab,"computers,projector,ac"
LAB3,Physics Lab 1,Science Block,30,lab,"equipment,projector,ac"
LAB4,Physics Lab 2,Science Block,30,lab,"equipment,projector,ac"
LAB5,Electronics Lab,Tech Building,35,lab,"equipment,computers,projector,ac"
